Isaiah Crowell,CLE,RB,9.335578566,6.79,10.8986876,22
Doug Martin,TB,RB,9.286916501,6.591991085,10.5520462,23
Pierre Garcon,SF,WR,9.252745912,6.69,11.89247735,15
Chris Thompson,WAS,RB,9.240795001,7.133997028,11.0137807,24
Rishard Matthews,TEN,WR,9.184505868,7.5285,10.91092817,16
Joe Flacco,BAL,QB,9.161493492,8.25,9.815867118,30
Jake Elliott,PHI,K,8.938100986,7.08,9.925046349,4
Harrison Butker,KC,K,8.913951996,7.99,9.419011214,5
Aaron Jones,GB,RB,8.733463865,7.253,10.33133753,25
Kelvin Benjamin,CAR,WR,8.71148289,0,10.78456992,17
Ryan Succop,TEN,K,8.53758297,7.635185185,9.21933405,6
Justin Tucker,BAL,K,8.530726261,6.493288591,10.51361697,7
John Brown,ARI,WR,8.518419699,5.921,10.66757682,18
Joe Mixon,CIN,RB,8.489511948,7.72,9.010345289,26
Adam Thielen,MIN,WR,8.419445893,7.296650817,9.038570349,19
Devin Funchess,CAR,WR,8.320317237,6.686002972,10.24145202,20
Jordy Nelson,GB,WR,8.2557068,6.822659733,9.421887365,21
Matt Bryant,ATL,K,8.212227949,7.47,8.555561336,8
Marqise Lee,JAC,WR,8.175716947,5.765,10.69687236,22
Randall Cobb,GB,WR,8.155828461,5.712,10.77694176,23
Dan Bailey,DAL,K,8.112123297,7.317880795,8.763304867,9
T.Y. Hilton,IND,WR,8.080012883,6.307994056,9.660409726,24
Rams,LAC,DST,8.067652303,6.57,12.14421802,15
Brandon McManus,DEN,K,8.048089117,7.35,8.456615808,10
Chargers,LAR,DST,8.029836553,7.12,8.551761628,16
Christian McCaffrey,CAR,RB,8.007657184,5.942644874,8.988688372,27
Evan Engram,NYG,TE,7.968871545,6.073,10.33626511,4
Robby Anderson,NYJ,WR,7.939263652,5.527,10.61238817,25
Kyle Rudolph,MIN,TE,7.923349098,6.256002972,9.563665213,5
Blair Walsh,SEA,K,7.816589765,6.415540541,8.92283905,11
Tevin Coleman,ATL,RB,7.703811439,6.229331352,8.413310057,28
Cameron Brate,TB,TE,7.680505506,5.706002972,9.690145952,6
Phil Dawson,ARI,K,7.578340964,6.847619048,8.217696552,12
Cody Parkey,MIA,K,7.573037389,5.768,8.918476693,13
Chris Hogan,NE,WR,7.540062711,5.192502972,8.878305828,26
Mason Crosby,GB,K,7.524925312,6.148214286,8.331500188,14
Patrick Murray,TB,K,7.499825729,6.63877551,8.18670795,15
Hunter Henry,LAC,TE,7.486031428,4.921,10.21623662,7
Robert Woods,LAR,WR,7.47130709,4.904,9.952301661,27
Giorgio Tavecchio,OAK,K,7.417880228,6.19,8.194670185,16
Josh Lambo,JAC,K,7.386323418,6.291925466,8.171884949,17
Robbie Gould,SF,K,7.355640051,6.4,8.16119254,18
Jonathan Stewart,CAR,RB,7.355005275,5.081322437,8.850019615,29
Steven Hauschka,BUF,K,7.301901141,6.290322581,8.040442611,19
Ty Montgomery,GB,RB,7.300309629,4.249331352,9.119631489,30
Jason Witten,DAL,TE,7.298814175,5.263982169,9.465208455,8
Nick Rose,WAS,K,7.28934173,6.55,8.016029024,20
Greg Zuerlein,LAR,K,7.273608869,6.31292517,8.18153607,21
Bilal Powell,NYJ,RB,7.273585851,6.72,7.625149247,31
Austin Seferian-Jenkins,NYJ,TE,7.24193923,5.34,9.224111196,9
Chris Boswell,PIT,K,7.213711076,6.287581699,7.840994528,22
James White,NE,RB,7.207307597,5.19,9.335901235,32
Orleans Darkwa,NYG,RB,7.123748441,6.01,8.301196534,33
Connor Barth,CHI,K,7.049916022,5.92,8.003452478,23
Jimmy Graham,SEA,TE,7.022789565,5.22,8.731473166,10
DeSean Jackson,TB,WR,6.971703913,4.996002972,8.304356567,28
Adam Vinatieri,IND,K,6.955094789,6.338028169,7.604331477,24
Kai Forbath,MIN,K,6.919237911,6.294478528,7.439163257,25
Randy Bullock,CIN,K,6.901131592,5.365217391,8.034482505,26
Bears,CHI,DST,6.892020802,6.57,7.076747093,17
Chiefs,KC,DST,6.796047548,6.06,7.21827907,18
Keenan Allen,LAC,WR,6.638634896,4.807994056,8.226746137,29
Nick Novak,LAC,K,6.606589239,6.281879195,6.839386999,27
JuJu Smith-Schuster,PIT,WR,6.55099392,4.686002972,8.735922469,30
Eagles,PHI,DST,6.537384844,5.74,10.21224419,19
Chandler Catanzaro,NYJ,K,6.494452366,6.319444444,6.689233367,28
Allen Hurns,JAC,WR,6.456369373,4.476002972,7.690887791,31
Marlon Mack,IND,RB,6.448220779,5.263997028,7.186405167,34
Davante Adams,GB,WR,6.408894355,3.980002972,7.793295168,32
Jack Doyle,IND,TE,6.389300563,3.959316493,8.658117528,11
Mike Gillislee,NE,RB,6.366689995,3.610653789,7.911364159,35
