"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2558125,"Patrick Mahomes","KC","QB",NA,2,12,23.4816974216009,19.379,25.4985246437995,2.35111744487977,1,3.23161130362173,1,6.11952464379948,NA,1,0,0.736540084332806,NA,9200
2560757,"Lamar Jackson","BAL","QB",22,1,8,20.6243466371846,17.2194433962264,22.9116622691293,2.28417578373845,2,0.775853764730385,2,5.69221887290287,NA,2.6,0.8,3.2796565252571,NA,8300
2532975,"Russell Wilson","SEA","QB",31,7,11,19.8758255987737,17.8084,20.6783111820024,1.11484655499822,3,0.355893502511957,2,2.86991118200241,NA,3.8,0.9,3.59754608037263,NA,7800
2558063,"Deshaun Watson","HOU","QB",24,2,10,19.8211601461348,18.7922996670366,20.5216060348837,0.80250015046757,4,0.644122884222892,2,1.72930636784709,NA,3.2,0.9,3.59754608037263,NA,8200
2506121,"Philip Rivers","LAC","QB",38,15,12,19.2187040463886,16.9322,20.2168088479671,1.28434067590848,5,0.092297494657835,2,3.28460884796709,NA,7.1,1.8,6.45855207641246,NA,7800
2555334,"Jared Goff","LAR","QB",25,3,9,19.1353704774352,15.9282069922309,20.8576908895349,1.94357619913716,6,0.50344399194778,2,4.92948389730403,NA,8,2,7.09433118664353,NA,7700
2555260,"Dak Prescott","DAL","QB",26,3,8,19.1174426260264,17.95,20.0395711873351,0.944030318892973,7,1.29541212944857,2,2.0895711873351,NA,5.2,1.6,5.82277296618139,NA,8400
2557997,"Christian McCaffrey","CAR","RB",23,2,7,18.3862741996096,17.24,19.4894734346141,1.10217731243202,1,0.992402712715865,1,2.24947343461405,NA,2.1,0.7,2.28141299131063,NA,9000
2506363,"Aaron Rodgers","GB","QB",36,14,11,18.1464103449484,17.0980016648169,18.6847852173913,0.698678901435777,8,0.779263374620552,3,1.58678355257443,NA,7.4,1.4,5.18699385595032,NA,7700
2559169,"Austin Ekeler","LAC","RB",NA,NA,12,17.9024267533868,16.55758,19.2572878859043,1.53516870375307,2,1.65560153156573,1,2.69970788590433,NA,2.7,0.7,2.28141299131063,NA,8100
310,"Matt Ryan","ATL","QB",34,11,9,17.4976506482073,16.6612613762486,18.1316114164134,0.60787354183971,9,0.501991576415019,4,1.47035004016476,NA,9.6,1.5,5.50488341106585,NA,7900
2562299,"Daniel Jones","NYG","QB",49,0,11,17.2366432924484,15.0065377358491,18.2587342819767,1.31456362860642,10,0.644152044093794,4,3.25219654612769,NA,10.2,1.9,6.776441631528,NA,7300
2558019,"Alvin Kamara","NO","RB",23,2,9,16.8853162204006,16.22,17.4991445295723,0.693730673054765,3,1.75866734399654,2,1.27914452957226,NA,4.2,1.6,2.99808402590353,NA,8000
2555259,"Carson Wentz","PHI","QB",27,3,10,16.7546748511361,16,17.341924364486,0.622609739925837,11,0.385314399401796,5,1.34192436448598,NA,14.2,1.4,5.18699385595032,NA,7700
2504211,"Tom Brady","NE","QB",42,19,10,16.3084132578956,14.54,18.1044636147757,1.77034426298826,13,0.270598686687894,5,3.56446361477573,NA,12.8,2.1,7.41222074175907,NA,7800
2562382,"Kyler Murray","ARI","QB",49,0,12,16.2680245022987,12.9783429522753,17.8400216886544,2.03728184007206,14,0.56024207488878,5,4.8616787363791,NA,9.3,1.4,5.18699385595032,NA,7600
2555261,"Jacoby Brissett","IND","QB",27,3,6,15.8076046401167,14.18164,17.1150806958856,1.44237064840905,15,0.684837854404751,5,2.93344069588558,NA,14.4,2.1,7.41222074175907,NA,7300
2555224,"Ezekiel Elliott","DAL","RB",24,3,8,15.6083342232415,14.68,16.5195550264961,1.1565112302405,4,1.09089101465094,3,1.83955502649609,NA,1.7,1.3,2.75919368103923,NA,8800
2552033,"Jameis Winston","TB","QB",25,4,7,15.6079602147033,11.2472602663707,17.1417322765957,2.14346864234787,16,1.12760079637049,5,5.89447201022505,NA,17.9,1.8,6.45855207641246,NA,7500
2540154,"Keenan Allen","LAC","WR",27,6,12,15.3743390943738,13.276262966333,16.9254547900425,1.51246062792581,1,1.55634194805923,1,3.64919182370949,NA,2.7,1.1,2.23034745962266,NA,8100
2558123,"Marlon Mack","IND","RB",NA,2,6,14.6449635295667,12.47,16.2835367286756,2.05477644085728,5,0.406817367496641,3,3.81353672867564,NA,6.8,1.3,2.75919368103923,NA,7300
2552466,"Marcus Mariota","TEN","QB",26,4,11,14.6375733567206,13.5335181950509,15.3548259366755,0.789204175595325,17,0.439524371718816,6,1.82130774162451,NA,23.6,1.9,6.776441631528,NA,6900
2557978,"James Conner","PIT","RB",24,2,7,14.3899228876144,13.54,15.3306928238842,0.883348410824163,6,0.505509795884642,4,1.79069282388417,NA,8.9,1.9,3.23697437076783,NA,6900
2560860,"Mason Rudolph","PIT","QB",24,1,7,14.323145479945,11.90879,15.3128950035465,1.72038130326642,18,0.527589047250425,6,3.40410500354647,NA,20.5,1.7,6.14066252129692,NA,NA
2557991,"Dalvin Cook","MIN","RB",24,2,12,14.0863694365256,11.92,15.8413184654735,2.19089134042254,7,0.425298492244423,4,3.92131846547351,NA,6.7,2.1,3.39623460067737,NA,8300
2561177,"Kyle Allen","CAR","QB",49,1,7,14.0729524900585,12.5747008733624,14.9682293617021,1.09057406056887,19,0.697142738209273,6,2.39352848833968,NA,18.7,1.7,6.14066252129692,NA,6800
2495454,"Julio Jones","ATL","WR",30,8,9,13.9671128421982,11.132,15.657633827415,1.73446261923074,2,0.597567608463184,2,4.52563382741505,NA,1.8,1.5,2.4535709047759,NA,8500
