	ID	dropoff	lineup_cost	lineup_id	lineup_position	lineup_score	lower	player	points	position	positionECR	positionRank	projected_ownership	ptSpread	risk	salary	score	team	tier	upper
11	13424702	0.6441520440937939	49900.0	1474486019	QB	34.67409812409812	0.8968253968253969	Daniel Jones	0.9126984126984127	QB	0.3225806451612903	10	0.5196078431372549	0.48412698412698413	6.776441631528	5300.0	4.987463924963925	NYG	0.5238095238095238	0.9206349206349206
86	13424784	0.281355853090693	49900.0	1474486019	RB2	34.67409812409812	0.4523809523809524	Devonta Freeman	0.4523809523809524	RB	0.5645161290322581	23	0.6078431372549019	0.5079365079365079	2.9980840259035295	5000.0	2.782377344877345	ATL	0.9365079365079365	0.3492063492063492
91	13425250	0.0986883162726873	49900.0	1474486019	TE	34.67409812409812	0.42063492063492064	Darren Waller	0.4126984126984127	TE	0.11290322580645161	3	0.5490196078431373	0.7777777777777778	7.718240333356791	5200.0	3.1016143578643582	OAK	0.1626984126984127	0.49206349206349204
56	13425424	0.44532193516317303	49900.0	1474486019	DST	34.67409812409812	0.6984126984126984	Chargers	0.6349206349206349	DST	0.8951612903225806	2	0.8235294117647058	0.2222222222222222	3.9498111388721604	3800.0	3.7237103174603177	LAC	0.1626984126984127	0.5634920634920635
66	13424994	0.21644333943289198	49900.0	1474486019	WR3	34.67409812409812	0.5476190476190477	Sterling Shepard	0.5793650793650794	WR	0.5846774193548387	15	0.38235294117647056	0.8650793650793651	4.01613502084857	5800.0	3.577786796536796	NYG	0.3373015873015873	0.6587301587301587
38	13424978	0.269632474858307	49900.0	1474486019	FLEX	34.67409812409812	0.6825396825396826	Tyler Lockett	0.746031746031746	WR	0.18548387096774194	5	0.24509803921568626	0.8571428571428571	2.78840607250576	6300.0	4.304374098124098	SEA	0.1626984126984127	0.7857142857142857
29	13424760	0.14372463475585698	49900.0	1474486019	RB1	34.67409812409812	0.753968253968254	Nick Chubb	0.7936507936507936	RB	0.3387096774193548	9	0.21568627450980393	0.7063492063492064	3.15734425581307	6400.0	4.401569264069264	CLE	0.5238095238095238	0.7936507936507936
88	13425040	0.14949777243605802	49900.0	1474486019	WR2	34.67409812409812	0.47619047619047616	Terry McLaurin	0.4365079365079365	WR	0.6088709677419355	24	0.7450980392156863	0.5317460317460317	4.23935846600181	4500.0	2.937536075036075	WAS	0.5238095238095238	0.42063492063492064
19	13424960	1.5563419480592298	49900.0	1474486019	WR1	34.67409812409812	0.8571428571428571	Keenan Allen	0.8492063492063492	WR	0.06854838709677419	1	0.08823529411764706	0.5714285714285714	2.2303474596226605	7600.0	4.8576659451659445	LAC	0.031746031746031744	0.8571428571428571
27	13424754	0.11000605127413	49900.0	1024618549	RB1	34.58033008658009	0.7936507936507936	Todd Gurley	0.8095238095238095	RB	0.41935483870967744	8	0.13725490196078433	0.5	3.8740152904059704	7000.0	4.4472943722943725	LAR	0.5238095238095238	0.7698412698412699
74	13425436	2.7941971272962998	49900.0	1024618549	DST	34.58033008658009	0.5555555555555556	Broncos	0.5158730158730159	DST	0.9838709677419355	9	0.9803921568627451	0.2777777777777778	4.47986137912402	2900.0	3.064980158730159	DEN	0.3373015873015873	0.38095238095238093
32	13424766	0.255027235952724	49900.0	1024618549	RB2	34.58033008658009	0.7857142857142857	Leonard Fournette	0.7777777777777778	RB	0.45161290322580644	11	0.3333333333333333	0.42857142857142855	3.7147550604964303	6000.0	4.359830447330447	JAC	0.5238095238095238	0.746031746031746
65	13425248	1.8735299317732	49900.0	1024618549	TE	34.58033008658009	0.5634920634920635	Evan Engram	0.5873015873015873	TE	0.04435483870967742	2	0.4019607843137255	0.6746031746031746	6.108371792664631	5700.0	3.772222222222222	NYG	0.031746031746031744	0.6190476190476191
11	13424702	0.6441520440937939	49900.0	1024618549	QB	34.58033008658009	0.8968253968253969	Daniel Jones	0.9126984126984127	QB	0.3225806451612903	10	0.5196078431372549	0.48412698412698413	6.776441631528	5300.0	4.987463924963925	NYG	0.5238095238095238	0.9206349206349206
88	13425040	0.14949777243605802	49900.0	1024618549	FLEX	34.58033008658009	0.47619047619047616	Terry McLaurin	0.4365079365079365	WR	0.6088709677419355	24	0.7450980392156863	0.5317460317460317	4.23935846600181	4500.0	2.937536075036075	WAS	0.5238095238095238	0.42063492063492064
90	13424996	0.322649950959539	49900.0	1024618549	WR1	34.58033008658009	0.36507936507936506	Allen Robinson	0.42063492063492064	WR	0.6854838709677419	26	0.45098039215686275	0.8095238095238095	3.5696881305420898	5600.0	2.7115800865800868	CHI	0.5238095238095238	0.4126984126984127
47	13424968	0.0725274983191806	49900.0	1024618549	WR2	34.58033008658009	0.6666666666666666	Sammy Watkins	0.7063492063492064	WR	0.33064516129032256	8	0.16666666666666666	0.6507936507936508	3.34646468538885	6700.0	4.0888618326118324	KC	0.1626984126984127	0.6984126984126984
43	13424980	0.12414738638751101	49900.0	1024618549	WR3	34.58033008658009	0.6111111111111112	Brandin Cooks	0.7301587301587301	WR	0.3951612903225806	6	0.27450980392156865	0.9841269841269841	2.62098848864083	6200.0	4.210560966810967	LAR	0.1626984126984127	0.8333333333333334
65	13425248	1.8735299317732	49800.0	3326682823	TE	34.494002525252526	0.5634920634920635	Evan Engram	0.5873015873015873	TE	0.04435483870967742	2	0.4019607843137255	0.6746031746031746	6.108371792664631	5700.0	3.772222222222222	NYG	0.031746031746031744	0.6190476190476191
46	13424780	0.7556004187787672	49800.0	3326682823	RB2	34.494002525252526	0.6349206349206349	Phillip Lindsay	0.7142857142857143	RB	0.5483870967741935	15	0.5588235294117647	0.6904761904761905	4.0332755203155	5200.0	3.9188672438672443	DEN	0.7142857142857143	0.6904761904761905
28	13424958	0.681968138190289	49800.0	3326682823	WR2	34.494002525252526	0.7698412698412699	DeAndre Hopkins	0.8015873015873016	WR	0.08064516129032258	3	0.0784313725490196	0.7380952380952381	2.2861533209109703	7700.0	4.565070346320347	HOU	0.1626984126984127	0.8095238095238095
87	13425006	0.0837068248174742	49800.0	3326682823	WR1	34.494002525252526	0.46825396825396826	Marvin Jones	0.4444444444444444	WR	0.7258064516129032	23	0.49019607843137253	0.5873015873015873	4.51838777244336	5400.0	2.9234307359307357	DET	0.5238095238095238	0.4365079365079365
76	13424770	0.25812719664482103	49800.0	3326682823	FLEX	34.494002525252526	0.18253968253968253	Chris Carson	0.5079365079365079	RB	0.3629032258064516	19	0.4117647058823529	0.9920634920634921	4.19253575022503	5700.0	2.938401875901876	SEA	0.8412698412698413	0.5555555555555556
68	13425433	0.21105521720337	49800.0	3326682823	DST	34.494002525252526	0.6746031746031746	Colts	0.5634920634920635	DST	0.967741935483871	5	0.9705882352941176	0.05555555555555555	3.31651015354098	3100.0	3.4072420634920633	IND	0.3373015873015873	0.4444444444444444
78	13425000	0.0608717327398818	49800.0	3326682823	WR3	34.494002525252526	0.5079365079365079	Larry Fitzgerald	0.5	WR	0.5564516129032258	20	0.4411764705882353	0.6349206349206349	3.40227054667716	5600.0	3.2717532467532466	ARI	0.5238095238095238	0.5476190476190477
11	13424702	0.6441520440937939	49800.0	3326682823	QB	34.494002525252526	0.8968253968253969	Daniel Jones	0.9126984126984127	QB	0.3225806451612903	10	0.5196078431372549	0.48412698412698413	6.776441631528	5300.0	4.987463924963925	NYG	0.5238095238095238	0.9206349206349206
20	13424764	0.406817367496641	49800.0	3326682823	RB1	34.494002525252526	0.8333333333333334	Marlon Mack	0.8412698412698413	RB	0.20161290322580644	5	0.28431372549019607	0.6190476190476191	2.75919368103923	6100.0	4.709550865800866	IND	0.3373015873015873	0.8412698412698413
43	13424980	0.12414738638751101	49600.0	556006938	WR3	34.187328643578645	0.6111111111111112	Brandin Cooks	0.7301587301587301	WR	0.3951612903225806	6	0.27450980392156865	0.9841269841269841	2.62098848864083	6200.0	4.210560966810967	LAR	0.1626984126984127	0.8333333333333334
52	13424986	0.168083397448051	49600.0	556006938	WR1	34.187328643578645	0.5873015873015873	Kenny Golladay	0.6666666666666666	WR	0.4112903225806452	12	0.3627450980392157	0.9682539682539683	2.8442119337940697	5900.0	4.038356782106782	DET	0.1626984126984127	0.8015873015873016
