Giorgio Tavecchio,OAK,K,9.162218405,7.9,10.32660468,7
Demaryius Thomas,DEN,WR,9.101305719,7.239026063,10.9451715,16
Dustin Hopkins,WAS,K,9.097966527,8.1,9.893386942,8
Kelvin Benjamin,CAR,WR,9.033714279,7.313096591,10.55706774,17
Jake Elliott,PHI,K,9.026993196,8,9.923855535,9
Brandon McManus,DEN,K,9.016588817,8.632485314,9.456056927,10
Emmanuel Sanders,DEN,WR,8.998418709,7.455135714,10.86801919,18
Jarvis Landry,MIA,WR,8.99046748,7.77,10.43996265,19
Alshon Jeffery,PHI,WR,8.905514874,6.499026063,10.93248971,20
Adam Thielen,MIN,WR,8.89373778,5.71,11.14569947,21
Matt Prater,DET,K,8.889187209,6.837923425,9.93603645,11
Pierre Garcon,SF,WR,8.80302315,7.54,10.45600784,22
Duke Johnson,CLE,RB,8.767599254,7.489026063,10.42609602,24
Randall Cobb,GB,WR,8.659949257,6.932161777,11.0100206,23
Aaron Jones,GB,RB,8.650477812,3.799026063,11.30753071,25
DeSean Jackson,TB,WR,8.61221806,5.729026063,11.06642911,24
Devin Funchess,CAR,WR,8.598329611,6.179026063,10.68335342,25
Delanie Walker,TEN,TE,8.467651594,6.812,9.786170867,4
Stefon Diggs,MIN,WR,8.362269601,0,9.05528,26
Ryan Succop,TEN,K,8.285194508,6.576111076,9.555272362,12
Adam Vinatieri,IND,K,8.228123437,6.697371051,8.688274888,13
Greg Zuerlein,LAR,K,8.223470406,6.637406694,9.001916217,14
Graham Gano,CAR,K,8.174255944,6.519688717,9.357920438,15
Robbie Gould,SF,K,8.171703291,6.906977155,9.118757417,16
Christian McCaffrey,CAR,RB,8.053938438,5.953061777,9.797333557,26
Jordan Reed,WAS,TE,8.011905949,6.489026063,9.37877981,5
Jason Myers,JAC,K,7.96050442,6.491027548,9.009119943,17
Rishard Matthews,TEN,WR,7.921906325,5.940177198,8.883217349,27
Kai Forbath,MIN,K,7.91336042,6.674906061,8.55167736,18
Tyrell Williams,LAC,WR,7.895470019,5.88,9.731859024,28
Phil Dawson,ARI,K,7.873682865,6.6,8.621141546,19
Jermaine Kearse,NYJ,WR,7.708130841,5.8,9.663475532,29
Chandler Catanzaro,NYJ,K,7.667248249,5.805106071,8.764374806,20
Eagles,PHI,DST,7.63805,6.55,10.59663609,8
